PeakID (cmd=annotatePeaks.pl beds/community3.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1708	chr8	61590646	61591715	+	0	NA	promoter-TSS (NM_001293774)	promoter-TSS (NM_001293774)	-41	NM_001293774	72333		NM_001081390	ENSMUSG00000058056	Palld	2410003B16Rik|6030492A02	palladin, cytoskeletal associated protein	protein-coding
25	chr10	25140244	25140477	+	0	NA	Intergenic	Intergenic	59789	NR_166569	432442		NM_018747	ENSMUSG00000039166	Akap7	6430401D08|AKAP15|Akap18	A kinase anchor protein 7	protein-coding
1666	chr5	113790868	113791147	+	0	NA	Intergenic	Intergenic	9389	NM_146162	231633		NM_146162	ENSMUSG00000054675	Tmem119	obif	transmembrane protein 119	protein-coding
842	chr3	144380940	144381744	+	0	NA	Intergenic	Intergenic	-176087	NM_010723	16911		NM_010723	ENSMUSG00000028266	Lmo4	A730077C12Rik|Crp3|Etohi4	LIM domain only 4	protein-coding
1579	chr16	44062990	44063833	+	0	NA	Intergenic	CpG	-21403	NM_001359085	207798		NM_153528	ENSMUSG00000036292	Gramd1c	4921521N14Rik	GRAM domain containing 1C	protein-coding
549	chr5	76868460	76869492	+	0	NA	intron (NM_001163793, intron 8 of 8)	RLTR11D|LTR|ERVK	28377	NM_001163793	320827		NM_027611	ENSMUSG00000036377	Cracd	2810489J07Rik|4930529A19Rik|4931405B09Rik|C530008M17Rik|Crad|Gm10430|mKIAA1211	capping protein inhibiting regulator of actin	protein-coding
968	chr7	93019219	93019774	+	0	NA	Intergenic	Intergenic	-60383	NM_021427	58238		NM_021427	ENSMUSG00000051515	Fam181b	A830059I20Rik	family with sequence similarity 181, member B	protein-coding
1374	chr6	39781093	39781569	+	0	NA	Intergenic	Intergenic	29605	NM_010270	14548		NM_010270	ENSMUSG00000029918	Mrps33	CGI-139|Gdap3|MRP-S33|PTD003	mitochondrial ribosomal protein S33	protein-coding
580	chr1	165503377	165504060	+	0	NA	intron (NM_001357427, intron 3 of 33)	intron (NM_001357427, intron 3 of 33)	18535	NM_173029	271639		NM_173029	ENSMUSG00000026567	Adcy10	4930431D04Rik|4931412F17|Sacy|sAC	adenylate cyclase 10	protein-coding
1008	chr9	3002029	3002353	+	0	NA	Intergenic	GSAT_MM|Satellite|Satellite	36552	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1844	chr2	6405177	6405613	+	0	NA	intron (NM_001080548, intron 5 of 14)	intron (NM_001080548, intron 5 of 14)	52659	NM_181399	98910		NM_181399	ENSMUSG00000039046	Usp6nl	RNTRE|TRE2NL|mKIAA0019	USP6 N-terminal like	protein-coding
597	chr10	43452422	43452847	+	0	NA	intron (NM_001168289, intron 7 of 7)	intron (NM_001168289, intron 7 of 7)	-26506	NM_199028	331623		NM_199028	ENSMUSG00000038214	Bend3	mKIAA1553	BEN domain containing 3	protein-coding
420	chr15	50889766	50890663	+	0	NA	promoter-TSS (NM_032000)	promoter-TSS (NM_032000)	-173	NM_032000	83925		NM_032000	ENSMUSG00000038679	Trps1	D15Ertd586e	transcriptional repressor GATA binding 1	protein-coding
317	chr7	19160127	19160421	+	0	NA	intron (NM_001080815, intron 9 of 13)	intron (NM_001080815, intron 9 of 13)	5853	NM_001080815	381853		NM_001080815	ENSMUSG00000030406	Gipr	GIP-R|Gm1081|Gm160	gastric inhibitory polypeptide receptor	protein-coding
1887	chr9	96536323	96537489	+	0	NA	Intergenic	Intergenic	-11642	NM_001370882	102635744		NM_001370882	ENSMUSG00000099564	Gm28729	-	predicted gene 28729	protein-coding
322	chr7	27335926	27336413	+	0	NA	intron (NM_175641, intron 1 of 32)	intron (NM_175641, intron 1 of 32)	1443	NM_175641	108075		NM_175641	ENSMUSG00000040488	Ltbp4	2310046A13Rik	latent transforming growth factor beta binding protein 4	protein-coding
2063	chr7	118811506	118811804	+	0	NA	intron (NM_027815, intron 24 of 30)	intron (NM_027815, intron 24 of 30)	43958	NM_001168220	66356		NM_023197	ENSMUSG00000030980	Knop1	2310008H09Rik|Tsg118	lysine rich nucleolar protein 1	protein-coding
272	chr5	38469857	38470524	+	0	NA	intron (NM_001012363, intron 2 of 11)	intron (NM_001012363, intron 2 of 11)	10116	NM_001102415	117591		NM_145559	ENSMUSG00000005107	Slc2a9	GLUT-9|Glut9|SLC2A9B|SLC2a9A	solute carrier family 2 (facilitated glucose transporter), member 9	protein-coding
1770	chr19	10457092	10457910	+	0	NA	promoter-TSS (NM_001111140)	promoter-TSS (NM_001111140)	-54	NM_001111140	278795		NM_001111140	ENSMUSG00000090291	Lrrc10b	Gm705|SerdinR	leucine rich repeat containing 10B	protein-coding
1522	chr11	43621744	43622281	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	-20450	NM_008375	16204		NM_008375	ENSMUSG00000020405	Fabp6	GT|I-15P|I-BABP|ILBP|ILBP3|Illbp	fatty acid binding protein 6	protein-coding
1767	chr17	87314423	87315478	+	0	NA	intron (NM_028639, intron 5 of 19)	intron (NM_028639, intron 5 of 19)	32064	NM_028639	225049		NM_028639	ENSMUSG00000036918	Ttc7	1110035E02Rik|1700007L07Rik|Ttc7a|fsn|hea	tetratricopeptide repeat domain 7	protein-coding
187	chr2	66255988	66257186	+	0	NA	promoter-TSS (NM_001047604)	promoter-TSS (NM_001047604)	30	NM_001290669	73668		NM_001047604	ENSMUSG00000034848	Ttc21b	2410066K11Rik|Thm1|aln|mKIAA1992	tetratricopeptide repeat domain 21B	protein-coding
1021	chr9	57467582	57468576	+	0	NA	promoter-TSS (NM_001301635)	promoter-TSS (NM_001301635)	-19	NM_001301635	56807		NM_020270	ENSMUSG00000040722	Scamp5	Sc5	secretory carrier membrane protein 5	protein-coding
190	chr2	71187970	71188360	+	0	NA	Intergenic	L1M5|LINE|L1	-23541	NM_001198876	13427		NM_010064	ENSMUSG00000027012	Dync1i2	3110079H08Rik|Dncic2	dynein cytoplasmic 1 intermediate chain 2	protein-coding
134	chr16	95346986	95347573	+	0	NA	Intergenic	Intergenic	-87577	NR_153766	102633941		NR_153766		Gm31641	-	predicted gene, 31641	ncRNA
1430	chr8	10900946	10901620	+	0	NA	promoter-TSS (NR_166616)	promoter-TSS (NR_166616)	-732	NR_166616	100040507		NR_166616	ENSMUSG00000109291	Gm2814	Gm45043	predicted gene 2814	ncRNA
1161	chr14	79358088	79358477	+	0	NA	intron (NM_025832, intron 10 of 19)	intron (NM_025832, intron 10 of 19)	32386	NM_025832	66897		NM_025832	ENSMUSG00000022020	Naa16	1300019C06Rik|Narg1l	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	protein-coding
1721	chr1	172513916	172514489	+	0	NA	Intergenic	Intergenic	-6928	NM_027972	71870		NM_027972	ENSMUSG00000026546	Cfap45	1700028D05Rik|Ccdc19|Nesg1	cilia and flagella associated protein 45	protein-coding
1127	chr12	111933183	111933916	+	0	NA	Intergenic	Intergenic	10933	NR_029464	77675		NR_029464	ENSMUSG00000113769	5033406O09Rik	9130204G15Rik	RIKEN cDNA 5033406O09 gene	ncRNA
1260	chr2	33582284	33583513	+	0	NA	intron (NM_010725, intron 2 of 7)	intron (NM_010725, intron 2 of 7)	58200	NM_010725	16917		NM_010725	ENSMUSG00000038765	Lmx1b	Icst|LMX1.1|LMX1.2	LIM homeobox transcription factor 1 beta	protein-coding
1070	chr11	67081031	67081700	+	0	NA	intron (NM_001099635, intron 3 of 40)	intron (NM_001099635, intron 3 of 40)	3065	NM_001099635	17883		NM_001099635	ENSMUSG00000020908	Myh3	MyHC-emb|Myhs-e|Myhse	myosin, heavy polypeptide 3, skeletal muscle, embryonic	protein-coding
498	chr6	86401175	86401337	+	0	NA	Intergenic	Intergenic	-2963	NM_011585	21841		NM_011585	ENSMUSG00000071337	Tia1	2310050N03Rik|TIA-1|mTIA-1	cytotoxic granule-associated RNA binding protein 1	protein-coding
1277	chr2	117210483	117211118	+	0	NA	Intergenic	Intergenic	25673	NR_030440	732489		NR_030440	ENSMUSG00000076376	Mir674	Mirn674|mir-674|mmu-mir-674	microRNA 674	ncRNA
1067	chr11	43836425	43836675	+	0	NA	promoter-TSS (NM_007416)	promoter-TSS (NM_007416)	-61	NM_007416	11548		NM_007416	ENSMUSG00000050541	Adra1b	[a]1b	adrenergic receptor, alpha 1b	protein-coding
128	chr15	101223986	101224680	+	0	NA	promoter-TSS (NR_045326)	promoter-TSS (NR_045326)	126	NM_019518	56149		NM_019518	ENSMUSG00000000531	Tamalin	Grasp	trafficking regulator and scaffold protein tamalin	protein-coding
953	chr7	28467437	28467899	+	0	NA	TTS (NM_001141921)	TTS (NM_001141921)	15430	NM_001141921	80749		NM_030562	ENSMUSG00000030600	Lrfn1	SALM2|Semo1	leucine rich repeat and fibronectin type III domain containing 1	protein-coding
465	chr2	68902590	68902960	+	0	NA	intron (NM_001347161, intron 1 of 10)	intron (NM_001347161, intron 1 of 10)	41334	NM_001347161	241447		NM_172856	ENSMUSG00000027035	Cers6	4732462C07Rik|Lass6|T1L	ceramide synthase 6	protein-coding
216	chr3	32616077	32617308	+	0	NA	promoter-TSS (NM_001348105)	promoter-TSS (NM_001348105)	-102	NM_001348105	14696		NM_013531	ENSMUSG00000027669	Gnb4	6720453A21Rik|G(beta)4|Hg2b	guanine nucleotide binding protein (G protein), beta 4	protein-coding
202	chr2	138256213	138257617	+	0	NA	intron (NM_001025431, intron 1 of 4)	CpG	331	NM_001025431	228662		NM_145534	ENSMUSG00000062098	Btbd3	mKIAA0952	BTB domain containing 3	protein-coding
1916	chr14	57546750	57547029	+	0	NA	Intergenic	ID4_|SINE|ID	22060	NM_145837	239114		NM_145837	ENSMUSG00000050222	Il17d	IL-17D	interleukin 17D	protein-coding
783	chr2	57181448	57182530	+	0	NA	promoter-TSS (NR_040356)	promoter-TSS (NR_040356)	158	NR_040633	75279		NR_040633	ENSMUSG00000086396	4930555B11Rik	-	RIKEN cDNA 4930555B11 gene	ncRNA
78	chr12	87132886	87133117	+	0	NA	intron (NM_153415, intron 5 of 20)	intron (NM_153415, intron 5 of 20)	-14164	NM_001252555	14874		NM_010363	ENSMUSG00000021033	Gstz1	GSTZ1-1|MAAI	glutathione transferase zeta 1 (maleylacetoacetate isomerase)	protein-coding
2025	chr5	130163764	130163958	+	0	NA	Intergenic	Intergenic	-7958	NM_001359233	56715		NM_019983	ENSMUSG00000025340	Rabgef1	Rab5ef|Rabex5|Rin2	RAB guanine nucleotide exchange factor (GEF) 1	protein-coding
1285	chr2	153426909	153427327	+	0	NA	intron (NM_001001986, intron 2 of 7)	intron (NM_001001986, intron 2 of 7)	17361	NM_001001986	329540		NM_001001986	ENSMUSG00000061411	Nol4l	4931410H15|8430427H17Rik|Gm1636	nucleolar protein 4-like	protein-coding
295	chr6	48503912	48504841	+	0	NA	promoter-TSS (NR_027808)	promoter-TSS (NR_027808)	37	NR_015597	58894		NR_015597	ENSMUSG00000121879	Zfp862-ps	4732460K03Rik|Zfp862|mKIAA0543	zinc finger protein 862, pseudogene	pseudo
95	chr13	100875176	100875619	+	0	NA	Intergenic	Intergenic	-41970	NM_022885	69048		NM_022885	ENSMUSG00000021629	Slc30a5	1810010K08Rik|ZNT5|ZTL1|ZnT-5|Zntl1	solute carrier family 30 (zinc transporter), member 5	protein-coding
268	chr5	24733754	24734330	+	0	NA	Intergenic	Intergenic	-3362	NM_001081441	269633		NM_026621	ENSMUSG00000055235	Wdr86	2810046M22Rik	WD repeat domain 86	protein-coding
1951	chr11	90356563	90356967	+	0	NA	intron (NM_172563, intron 2 of 3)	intron (NM_172563, intron 2 of 3)	34152	NM_172563	217082		NM_172563	ENSMUSG00000003949	Hlf	E230015K02Rik	hepatic leukemia factor	protein-coding
1875	chr7	73375209	73375936	+	0	NA	promoter-TSS (NM_177740)	promoter-TSS (NM_177740)	52	NM_177740	244058		NM_177740	ENSMUSG00000070509	Rgma	C230063O06	repulsive guidance molecule family member A	protein-coding
1345	chr4	149854255	149854848	+	0	NA	Intergenic	Intergenic	-80284	NM_027460	70556		NM_027460	ENSMUSG00000028982	Slc25a33	5730438N18Rik|Pnc1	solute carrier family 25, member 33	protein-coding
1905	chr10	75120996	75121350	+	0	NA	intron (NM_001081412, intron 1 of 22)	intron (NM_001081412, intron 1 of 22)	60277	NM_001081412	110279		NM_001081412	ENSMUSG00000009681	Bcr	5133400C09Rik|mKIAA3017	BCR activator of RhoGEF and GTPase	protein-coding
1294	chr3	68676746	68677388	+	0	NA	Intergenic	Intergenic	-13577	NM_001159424	16159		NM_008351	ENSMUSG00000027776	Il12a	IL-12p35|Il-12a|Ll12a|p35	interleukin 12a	protein-coding
1429	chr7	143533161	143533905	+	0	NA	intron (NM_001285490, intron 7 of 14)	intron (NM_001285490, intron 7 of 14)	15295	NM_001285490	17955		NM_008672	ENSMUSG00000059119	Nap1l4	2810410H14Rik|D7Wsu30e|Nap2	nucleosome assembly protein 1-like 4	protein-coding
1673	chr6	31216069	31217331	+	0	NA	intron (NR_110469, intron 1 of 3)	CpG	1774	NR_110471	232685		NM_144555	ENSMUSG00000044471	Lncpint	Lincpint|MNCb-1768|Pint|linc-Pint	long non-protein coding RNA, Trp53 induced transcript	ncRNA
857	chr4	80003841	80004051	+	0	NA	Intergenic	Intergenic	-830267	NM_031202	22178		NM_031202	ENSMUSG00000005994	Tyrp1	Oca3|TRP-1|TRP1|Tyrp|b|brown|isa	tyrosinase-related protein 1	protein-coding
1681	chr6	91729093	91729572	+	0	NA	intron (NM_009320, intron 5 of 14)	intron (NM_009320, intron 5 of 14)	45265	NM_009320	21366		NM_009320	ENSMUSG00000030096	Slc6a6	Taut	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	protein-coding
1977	chr7	30706336	30706912	+	0	NA	Intergenic	Intergenic	-5585	NM_018731	11944		NM_018731	ENSMUSG00000005553	Atp4a	-	ATPase, H+/K+ exchanging, gastric, alpha polypeptide	protein-coding
165	chr18	79257388	79257635	+	0	NA	Intergenic	Intergenic	-147067	NM_053099	240427		NM_053099	ENSMUSG00000024548	Setbp1	C130092E12|Seb|mKIAA0437	SET binding protein 1	protein-coding
428	chr11	44272317	44272616	+	0	NA	Intergenic	RLTR14-int|LTR|ERV1	-127597	NM_001303244	16160		NM_008352	ENSMUSG00000004296	Il12b	Il-12b|Il-12p40|Il12p40|p40	interleukin 12b	protein-coding
1960	chr18	23881918	23882448	+	0	NA	intron (NM_153058, intron 5 of 6)	RCHARR1|DNA|hAT-Charlie	-34879	NR_168262	102641432		NR_168262		Gm38559	-	predicted gene, 38559	ncRNA
1807	chr1	54556985	54558213	+	0	NA	promoter-TSS (NM_001163314)	promoter-TSS (NM_001163314)	85	NM_001163314	241062		NM_175508	ENSMUSG00000073678	Pgap1	5033403E17Rik|9030223K07Rik|A530084K22|D230012E17Rik|oto	post-GPI attachment to proteins 1	protein-coding
1216	chr18	6504550	6505241	+	0	NA	intron (NM_007935, intron 1 of 13)	intron (NM_007935, intron 1 of 13)	11213	NM_007935	13831		NM_007935	ENSMUSG00000024240	Epc1	2400007E14Rik|5730566F07Rik|A930032N02Rik|mir-1893	enhancer of polycomb homolog 1	protein-coding
198	chr2	114157416	114157662	+	0	NA	intron (NM_001290788, intron 7 of 33)	intron (NM_001290788, intron 7 of 33)	-6969	NR_105968	102465982		NR_105968	ENSMUSG00000098464	Mir7002	Gm27429|mmu-mir-7002	microRNA 7002	ncRNA
392	chr1	155048792	155049491	+	0	NA	Intergenic	Intergenic	34123	NR_151545	671336		NR_151545	ENSMUSG00000096950	Gm9530	-	predicted gene 9530	ncRNA
487	chr5	46488339	46489072	+	0	NA	Intergenic	Intergenic	141034	NR_169028	100503799		NR_169028		Gm7931	EG666103	predicted pseudogene 7931	pseudo
1497	chr1	75559286	75560004	+	0	NA	TTS (NM_001357150)	TTS (NM_001357150)	13183	NM_001357150	20536		NM_009208	ENSMUSG00000006576	Slc4a3	A930038D23Rik|Ae3	solute carrier family 4 (anion exchanger), member 3	protein-coding
2100	chr18	62073959	62074233	+	0	NA	Intergenic	Intergenic	105885	NM_007420	11555		NM_007420	ENSMUSG00000045730	Adrb2	Adrb-2|Badm|Gpcr7	adrenergic receptor, beta 2	protein-coding
434	chr11	105124002	105124332	+	0	NA	Intergenic	Intergenic	-2258	NM_172567	52686		NM_172567	ENSMUSG00000020691	Mettl2	2810438F06Rik|C130031G21Rik|D11Ertd768e|METL|PSENIP1	methyltransferase 2, methylcytidine	protein-coding
490	chr5	122994356	122994821	+	0	NA	intron (NR_045820, intron 2 of 2)	intron (NR_045820, intron 2 of 2)	5234	NR_045820	109202		NM_175405	ENSMUSG00000056735	A930024E05Rik	Kancr|LncKdm2b	RIKEN cDNA A930024E05 gene	ncRNA
120	chr15	53901837	53903047	+	0	NA	promoter-TSS (NM_177225)	promoter-TSS (NM_177225)	-6	NM_177225	320679		NM_177225	ENSMUSG00000058656	Samd12	A830094I09Rik	sterile alpha motif domain containing 12	protein-coding
1372	chr6	29278599	29279316	+	0	NA	Intergenic	Intergenic	-2184	NM_001101486	245884		NM_001101486	ENSMUSG00000079652	Garin1a	Fam71f2|GARI	golgi associated RAB2 interactor 1A	protein-coding
1842	chr18	80178755	80179028	+	0	NA	Intergenic	Intergenic	-7348	NR_131039	105246506		NR_131039	ENSMUSG00000118061	Rbfaos	Gm19443	ribosome binding factor A, opposite strand	ncRNA
1205	chr17	47446089	47446449	+	0	NA	intron (NM_145489, intron 1 of 4)	intron (NM_145489, intron 1 of 4)	-8894	NM_029296	75462		NM_029296	ENSMUSG00000047150	Cimip3	1700001C19Rik	ciliary microtubule inner protein 3	protein-coding
1994	chr10	61669956	61670286	+	0	NA	intron (NM_026438, intron 8 of 10)	ORR1C2|LTR|ERVL-MaLR	-10164	NM_001358488	20224		NM_009120	ENSMUSG00000020088	Sar1a	1600019H17Rik|Sara|Sara1	secretion associated Ras related GTPase 1A	protein-coding
539	chr3	145653153	145653952	+	0	NA	Intergenic	CpG	-3567	NM_010516	16007		NM_010516	ENSMUSG00000028195	Ccn1	Cyr61|Igfbp10	cellular communication network factor 1	protein-coding
1251	chr2	18041178	18041638	+	0	NA	Intergenic	Intergenic	-3667	NR_028376	77940		NR_028376	ENSMUSG00000054057	A930004D18Rik	-	RIKEN cDNA A930004D18 gene	ncRNA
832	chr3	95740402	95740984	+	0	NA	intron (NR_151588, intron 15 of 15)	intron (NR_151588, intron 15 of 15)	-1124	NM_001355070	13601		NM_007899	ENSMUSG00000028108	Ecm1	p85	extracellular matrix protein 1	protein-coding
260	chr4	142238817	142239859	+	0	NA	promoter-TSS (NM_001109685)	promoter-TSS (NM_001109685)	63	NM_001109685	71529		NM_144531	ENSMUSG00000040606	Kazn	2310007B04Rik|9030409G11Rik|Kaz|Kazrin	kazrin, periplakin interacting protein	protein-coding
305	chr6	121473009	121473776	+	0	NA	exon (NM_001033354, exon 1 of 14)	exon (NM_001033354, exon 1 of 14)	286	NM_001033354	243621		NM_001033354	ENSMUSG00000040797	Iqsec3	BRAG3|mKIAA1110|synarfGEF	IQ motif and Sec7 domain 3	protein-coding
1034	chr9	106448485	106448744	+	0	NA	promoter-TSS (NM_001110272)	promoter-TSS (NM_001110272)	-26	NM_029631	76491		NM_029631	ENSMUSG00000042073	Abhd14b	1810013B01Rik	abhydrolase domain containing 14b	protein-coding
225	chr3	89349509	89350583	+	0	NA	promoter-TSS (NM_009614)	promoter-TSS (NM_009614)	-18	NM_001037722	11490		NM_009614	ENSMUSG00000028041	Adam15	AD56|MDC15	ADAM metallopeptidase domain 15	protein-coding
375	chr9	55429306	55429605	+	0	NA	intron (NM_172923, intron 8 of 10)	intron (NM_172923, intron 8 of 10)	82788	NM_145615	110842		NM_145615	ENSMUSG00000032314	Etfa	2010200I21Rik|D9Ertd394e	electron transferring flavoprotein, alpha polypeptide	protein-coding
1734	chr12	91400276	91401010	+	0	NA	promoter-TSS (NM_011648)	promoter-TSS (NM_011648)	-350	NM_001113404	22095		NM_011648	ENSMUSG00000020963	Tshr	hypothroid|hyt|pet	thyroid stimulating hormone receptor	protein-coding
1985	chr9	37254942	37256136	+	0	NA	5' UTR (NM_001145960, exon 1 of 19)	5' UTR (NM_001145960, exon 1 of 19)	199	NM_001145960	56857		NM_020258	ENSMUSG00000032122	Slc37a2	G3PP|Slc37a1|cI-2|ci2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	protein-coding
1199	chr17	25570231	25571314	+	0	NA	promoter-TSS (NM_011447)	promoter-TSS (NM_011447)	-39	NR_045176	72834		NR_045176	ENSMUSG00000091475	Cerox1	2810468N07Rik|lnc6689	cytoplasmic endogenous regulator of oxidative phosphorylation 1	ncRNA
1474	chr9	121759327	121760667	+	0	NA	promoter-TSS (NM_001166644)	promoter-TSS (NM_001166644)	-36	NM_001166644	270210		NM_001166644	ENSMUSG00000013419	Zbtb47	4732420M22Rik|Zfp651	zinc finger and BTB domain containing 47	protein-coding
1655	chr5	36829162	36829419	+	0	NA	intron (NM_008550, intron 2 of 18)	intron (NM_008550, intron 2 of 18)	1359	NM_008550	17160		NM_008550	ENSMUSG00000029119	Man2b2	mKIAA0935	mannosidase 2, alpha B2	protein-coding
1150	chr14	20836521	20837149	+	0	NA	intron (NM_008873, intron 1 of 10)	intron (NM_008873, intron 1 of 10)	173	NM_008873	18792		NM_008873	ENSMUSG00000021822	Plau	u-PA|uPA	plasminogen activator, urokinase	protein-coding
1853	chr3	84324495	84324753	+	0	NA	Intergenic	Intergenic	-19849	NM_001271726	80890		NM_030706	ENSMUSG00000027993	Trim2	mKIAA0517|narf	tripartite motif-containing 2	protein-coding
1601	chr19	53105709	53106035	+	0	NA	Intergenic	Intergenic	-22831	NR_166769	102632253		NR_166769	ENSMUSG00000118233	Gm30381	-	predicted gene, 30381	ncRNA
144	chr17	78236081	78236546	+	0	NA	intron (NM_015800, intron 1 of 16)	intron (NM_015800, intron 1 of 16)	36065	NM_015800	50766		NM_015800	ENSMUSG00000024074	Crim1	-	cysteine rich transmembrane BMP regulator 1	protein-coding
678	chr13	110968145	110968421	+	0	NA	Intergenic	Intergenic	-64437	NR_131194	102636142		NR_131194		4930526H09Rik	-	RIKEN cDNA 4930526H09 gene	ncRNA
1330	chr4	101418879	101420587	+	0	NA	promoter-TSS (NM_009647)	promoter-TSS (NM_009647)	30	NM_009647	11639		NM_009647	ENSMUSG00000028527	Ak4	AK 4|Ak-3|Ak-4|Ak3|Ak3l1|D4Ertd274e	adenylate kinase 4	protein-coding
