PeakID (cmd=annotatePeaks.pl beds/community2.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3047	chr11	79660287	79661009	+	0	NA	intron (NM_175543, intron 3 of 14)	CpG	14438	NR_045898	72218		NR_045898	ENSMUSG00000086569	Rab11fip4os2	1700020F10Rik|4930542H20Rik|Rab11fib4os2	RAB11 family interacting protein 4 (class II), opposite strand 2	ncRNA
881	chr15	102017777	102018380	+	0	NA	Intergenic	Intergenic	-10138	NM_010664	16668		NM_010664	ENSMUSG00000023043	Krt18	CK18|K18|Krt1-18	keratin 18	protein-coding
3743	chr8	68038720	68039016	+	0	NA	Intergenic	Intergenic	-64294	NM_177698	234353		NM_027626	ENSMUSG00000030465	Psd3	4931420C21Rik|D430018P08|EFA6D	pleckstrin and Sec7 domain containing 3	protein-coding
2062	chr6	129212360	129212787	+	0	NA	Intergenic	Intergenic	25472	NR_040265	76432		NR_040265	ENSMUSG00000097354	2310001H17Rik	-	RIKEN cDNA 2310001H17 gene	ncRNA
2313	chr11	63914329	63914738	+	0	NA	intron (NM_018805, intron 1 of 1)	intron (NM_018805, intron 1 of 1)	7751	NM_018805	54710		NM_018805	ENSMUSG00000070407	Hs3st3b1	3-OST-3B|3OST3B1|3Ost3b|Hs3st3b|m3-OST-3B	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	protein-coding
1365	chr2	84635495	84636511	+	0	NA	intron (NM_007615, intron 1 of 19)	intron (NM_007615, intron 1 of 19)	13477	NM_001355065	12388		NM_007615	ENSMUSG00000034101	Ctnnd1	Catns|Ctnnd|P120|mKIAA0384	catenin delta 1	protein-coding
4057	chr14	27038765	27039758	+	0	NA	intron (NM_134437, intron 1 of 12)	CpG	260	NM_134437	171463		NM_027265	ENSMUSG00000040717	Il17rd	2810004A10Rik|IL-17RD|Sef|Sef-S|mSef	interleukin 17 receptor D	protein-coding
4031	chr8	119585816	119586334	+	0	NA	intron (NM_026648, intron 5 of 11)	RLTR1B-int|LTR|ERV1	10840	NM_026648	68270		NM_026648	ENSMUSG00000031831	Dnaaf1	4930457P18Rik|Lrrc50|m4Bei	dynein, axonemal assembly factor 1	protein-coding
743	chr14	66654726	66655105	+	0	NA	intron (NM_001271761, intron 2 of 2)	intron (NM_001271761, intron 2 of 2)	19664	NM_001271760	11549		NM_013461	ENSMUSG00000045875	Adra1a	Adra1c	adrenergic receptor, alpha 1a	protein-coding
493	chr12	51865527	51866707	+	0	NA	Intergenic	Intergenic	-36581	NM_144788	207304		NM_144788	ENSMUSG00000035247	Hectd1	A630086P08Rik|b2b327Clo|opm	HECT domain E3 ubiquitin protein ligase 1	protein-coding
1970	chr6	54429246	54430310	+	0	NA	promoter-TSS (NM_001167860)	promoter-TSS (NM_001167860)	92	NM_001167860	330319		NM_001167860	ENSMUSG00000086040	Wipf3	9030621G03	WAS/WASL interacting protein family, member 3	protein-coding
1460	chr2	173276211	173276827	+	0	NA	promoter-TSS (NM_022995)	promoter-TSS (NM_022995)	14	NM_022995	65112		NM_022995	ENSMUSG00000038400	Pmepa1	2210418I02Rik|Erg1.2|N4wbp4|Stag1|Tmepai	prostate transmembrane protein, androgen induced 1	protein-coding
439	chr11	109347425	109347993	+	0	NA	intron (NR_027883, intron 1 of 1)	intron (NR_027883, intron 1 of 1)	842	NR_027883	67927		NR_027883	ENSMUSG00000099630	1700096J18Rik	-	RIKEN cDNA 1700096J18 gene	ncRNA
1667	chr4	59845282	59845617	+	0	NA	intron (NM_172468, intron 1 of 8)	intron (NM_172468, intron 1 of 8)	39799	NM_172468	209131		NM_172468	ENSMUSG00000028385	Snx30	4732481H14Rik|C030041J06Rik	sorting nexin family member 30	protein-coding
398	chr11	75935792	75936133	+	0	NA	Intergenic	Intergenic	-10071	NM_001291159	380714		NM_029548	ENSMUSG00000020847	Rph3al	Gm1753|Noc2	rabphilin 3A-like (without C2 domains)	protein-coding
2666	chr6	29245236	29246429	+	0	NA	Intergenic	Intergenic	-26656	NM_001190461	69573		NM_023516	ENSMUSG00000043421	Hilpda	2310016C08Rik|Hig2	hypoxia inducible lipid droplet associated	protein-coding
3081	chr12	112488268	112488803	+	0	NA	promoter-TSS (NM_177039)	promoter-TSS (NM_177039)	-913	NM_177039	319942		NM_177039	ENSMUSG00000043122	A530016L24Rik	Nrac	RIKEN cDNA A530016L24 gene	protein-coding
3826	chr19	8976641	8976881	+	0	NA	intron (NM_026007, intron 7 of 9)	intron (NM_026007, intron 7 of 9)	9720	NM_026007	67160		NM_026007	ENSMUSG00000071644	Eef1g	2610301D06Rik|EF1G	eukaryotic translation elongation factor 1 gamma	protein-coding
1411	chr2	135067455	135067787	+	0	NA	intron (NM_019677, intron 3 of 32)	RLTR26_Mus|LTR|ERVK	147995	NR_040517	78805		NR_040517	ENSMUSG00000085247	4930545L23Rik	-	RIKEN cDNA 4930545L23 gene	ncRNA
3638	chr2	33870364	33870709	+	0	NA	intron (NM_175184, intron 2 of 9)	intron (NM_175184, intron 2 of 9)	17410	NM_175184	72543		NM_175184	ENSMUSG00000038740	Mvb12b	2610200O14Rik|2610528K11Rik|Fam125b	multivesicular body subunit 12B	protein-coding
922	chr16	30959631	30960097	+	0	NA	intron (NM_198626, intron 3 of 3)	intron (NM_198626, intron 3 of 3)	121568	NM_198626	268880		NM_198626	ENSMUSG00000047434	Xxylt1	-	xyloside xylosyltransferase 1	protein-coding
1614	chr3	153529225	153529775	+	0	NA	intron (NM_011372, intron 1 of 4)	MER34|LTR|ERV1	195633	NM_011372	20447		NM_011372	ENSMUSG00000052544	St6galnac3	Siat7c	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	protein-coding
2923	chr9	96966399	96966842	+	0	NA	intron (NM_145134, intron 2 of 2)	intron (NM_145134, intron 2 of 2)	51735	NM_145134	211949		NM_145134	ENSMUSG00000046997	Spsb4	D030068E18Rik|SSB-4|Ssb4	splA/ryanodine receptor domain and SOCS box containing 4	protein-coding
1262	chr19	55552424	55552734	+	0	NA	intron (NM_001293686, intron 7 of 7)	intron (NM_001293686, intron 7 of 7)	149625	NR_045318	77594		NR_045318		4930552P12Rik	-	RIKEN cDNA 4930552P12 gene	ncRNA
984	chr17	10479399	10479712	+	0	NA	intron (NR_077237, intron 1 of 1)	intron (NR_077237, intron 1 of 1)	23339	NR_077238	319750		NR_077237	ENSMUSG00000089633	A230009B12Rik	-	RIKEN cDNA A230009B12 gene	ncRNA
714	chr14	34275189	34275821	+	0	NA	intron (NR_153399, intron 2 of 11)	intron (NR_153399, intron 2 of 11)	35012	NM_001360074	75698		NM_029389	ENSMUSG00000041471	Shld2	3110001K24Rik|Fam35a	shieldin complex subunit 2	protein-coding
1698	chr4	104366969	104367938	+	0	NA	promoter-TSS (NR_104385)	promoter-TSS (NR_104385)	-85	NM_010014	13131		NM_010014	ENSMUSG00000028519	Dab1	C630028C02Rik|scm|scr|scrambler|yot	disabled 1	protein-coding
953	chr16	78631831	78632225	+	0	NA	Intergenic	Intergenic	-55340	NM_001252438	67102		NM_025967	ENSMUSG00000022864	D16Ertd472e	1700010I10Rik|2310009O17Rik|E330003K22Rik|Eurl	DNA segment, Chr 16, ERATO Doi 472, expressed	protein-coding
3370	chr4	123633362	123633859	+	0	NA	intron (NM_001199136, intron 1 of 97)	intron (NM_001199136, intron 1 of 97)	17190	NR_105824	102465214		NR_105824	ENSMUSG00000099005	Mir6398	Gm27657|mmu-mir-6398	microRNA 6398	ncRNA
3246	chr19	34746972	34747650	+	0	NA	promoter-TSS (NM_172838)	promoter-TSS (NM_172838)	17	NM_172838	240638		NM_172838	ENSMUSG00000009378	Slc16a12	3230401A21|MCT 12	solute carrier family 16 (monocarboxylic acid transporters), member 12	protein-coding
2864	chr9	21736595	21737361	+	0	NA	intron (NM_001252659, intron 5 of 17)	B1F1|SINE|Alu	13402	NM_001252658	16835		NM_010700	ENSMUSG00000032193	Ldlr	Hlb301	low density lipoprotein receptor	protein-coding
504	chr12	71992396	71993224	+	0	NA	TTS (NM_001286452)	TTS (NM_001286452)	78291	NM_181752	238252		NM_181752	ENSMUSG00000043398	Gpr135	PAFR	G protein-coupled receptor 135	protein-coding
29	chr1	39471156	39471839	+	0	NA	intron (NM_001357521, intron 1 of 19)	intron (NM_001357521, intron 1 of 19)	7250	NM_018775	54610		NM_018775	ENSMUSG00000003134	Tbc1d8	AD3|HBLP1|VRP	TBC1 domain family, member 8	protein-coding
3965	chr2	45239454	45240425	+	0	NA	Intergenic	Intergenic	-122497	NM_001355288	24136		NM_015753	ENSMUSG00000026872	Zeb2	9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b	zinc finger E-box binding homeobox 2	protein-coding
2103	chr7	25477001	25478130	+	0	NA	promoter-TSS (NM_001039186)	promoter-TSS (NM_001039186)	60	NM_001039187	26365		NM_011926	ENSMUSG00000074272	Ceacam1	Bgp|Bgp1|C-CAM|CD66a|Cc1|Cea-1|Cea-7|Cea1|Cea7|Hv-2|Hv2|MHVR|MHVR1|Mhv-1|bb-1|mCEA1|mmCGM1|mmCGM1a|mmCGM2	CEA cell adhesion molecule 1	protein-coding
3475	chr7	101320910	101321551	+	0	NA	5' UTR (NM_019990, exon 1 of 7)	5' UTR (NM_019990, exon 1 of 7)	117	NM_019990	56018		NM_019990	ENSMUSG00000030688	Stard10	CGI-52|NY-C0-28|PC-TP2|PCTP2|Pctpl|Sdccag28|SdccagG28|TISP-81	StAR related lipid transfer domain containing 10	protein-coding
3624	chr17	64617890	64618276	+	0	NA	intron (NM_008549, intron 1 of 21)	intron (NM_008549, intron 1 of 21)	16434	NM_008549	17158		NM_008549	ENSMUSG00000024085	Man2a1	Mana-2|Mana2|Map-2	mannosidase 2, alpha 1	protein-coding
664	chr13	100551905	100553063	+	0	NA	promoter-TSS (NM_008756)	promoter-TSS (NM_008756)	14	NM_001360537	18260		NM_008756	ENSMUSG00000021638	Ocln	Ocl	occludin	protein-coding
1816	chr5	51894140	51894619	+	0	NA	Intergenic	Intergenic	241638	NR_105845	102466648		NR_105845	ENSMUSG00000098726	Mir6417	Gm27334|mmu-mir-6417	microRNA 6417	ncRNA
3421	chr6	50192216	50192477	+	0	NA	intron (NM_019939, intron 10 of 12)	L1MB3|LINE|L1	69423	NM_018769	54722		NM_018769	ENSMUSG00000029821	Gsdme	2310037D07Rik|4932441K13Rik|Dfna5|Dfna5h|EG14210|Fin15	gasdermin E	protein-coding
2817	chr8	93974622	93975355	+	0	NA	intron (NM_011787, intron 11 of 13)	intron (NM_011787, intron 11 of 13)	37652	NM_011787	23802		NM_011787	ENSMUSG00000031751	Amfr	gp78	autocrine motility factor receptor	protein-coding
3174	chr16	24392705	24394065	+	0	NA	promoter-TSS (NM_178665)	promoter-TSS (NM_178665)	35	NM_178665	210126		NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|B130055L10Rik|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding
143	chr1	153267674	153268590	+	0	NA	intron (NM_010683, intron 1 of 27)	B4|SINE|B4	64654	NM_010683	226519		NM_010683	ENSMUSG00000026478	Lamc1	Lamb2	laminin, gamma 1	protein-coding
2406	chr14	73374258	73374798	+	0	NA	intron (NM_008410, intron 1 of 5)	intron (NM_008410, intron 1 of 5)	10761	NM_008410	16432		NM_008410	ENSMUSG00000022108	Itm2b	Bri|Bri2|Bricd2b|D14Sel6|E25BMM|imBRI2	integral membrane protein 2B	protein-coding
1407	chr2	130932829	130933269	+	0	NA	intron (NM_009730, intron 1 of 28)	RLTR31D_MM|LTR|ERVK	26554	NM_009730	11990		NM_009730	ENSMUSG00000027312	Atrn	Mgca|mg	attractin	protein-coding
2093	chr7	19547346	19547739	+	0	NA	intron (NM_199149, intron 1 of 12)	intron (NM_199149, intron 1 of 12)	14856	NM_199149	232947		NM_199149	ENSMUSG00000051403	Ppp1r37	Gm158|Lrrc68	protein phosphatase 1, regulatory subunit 37	protein-coding
1796	chr5	30711247	30712188	+	0	NA	5' UTR (NM_001356949, exon 1 of 3)	5' UTR (NM_001356949, exon 1 of 3)	153	NM_001356949	65254		NM_023047	ENSMUSG00000029168	Dpysl5	CRAM|CRMP-5|Crmp5	dihydropyrimidinase-like 5	protein-coding
2797	chr8	71312752	71313122	+	0	NA	intron (NM_001142322, intron 2 of 39)	intron (NM_001142322, intron 2 of 39)	40223	NM_015742	17925		NM_015742	ENSMUSG00000004677	Myo9b	-	myosin IXb	protein-coding
285	chr10	93623745	93624160	+	0	NA	Intergenic	Intergenic	-17097	NM_021320	57764		NM_021320	ENSMUSG00000020019	Ntn4	-	netrin 4	protein-coding
349	chr11	14183289	14183622	+	0	NA	Intergenic	Intergenic	-4414	NR_131011	75280		NR_131011	ENSMUSG00000085452	4930554G24Rik	-	RIKEN cDNA 4930554G24 gene	ncRNA
738	chr14	65331579	65332510	+	0	NA	Intergenic	Intergenic	-26632	NM_199029	380912		NM_199029	ENSMUSG00000034522	Zfp395	Gm910	zinc finger protein 395	protein-coding
2768	chr8	35826015	35827101	+	0	NA	promoter-TSS (NM_027998)	promoter-TSS (NM_027998)	1	NM_027998	71908		NM_027998	ENSMUSG00000055976	Cldn23	2310014B08Rik	claudin 23	protein-coding
2801	chr8	73017707	73018162	+	0	NA	intron (NM_001317391, intron 7 of 15)	intron (NM_001317391, intron 7 of 15)	1422	NR_039551	100628574		NR_039551	ENSMUSG00000093140	Mir28b	mmu-mir-28b	microRNA 28b	ncRNA
3736	chr8	48476938	48477271	+	0	NA	intron (NM_011857, intron 2 of 28)	intron (NM_011857, intron 2 of 28)	197586	NM_011857	23965		NM_011857	ENSMUSG00000031561	Tenm3	2610100B16Rik|Odz1|Odz3|Ten-m3|mKIAA1455	teneurin transmembrane protein 3	protein-coding
3233	chr18	74767766	74768427	+	0	NA	intron (NM_201600, intron 38 of 38)	ORR1F|LTR|ERVL-MaLR	10359	NR_028560	100217466		NR_028560		Scarna17	MBII-119	small Cajal body-specific RNA 17	ncRNA
1513	chr3	66964910	66965351	+	0	NA	Intergenic	LFSINE_Vert|SINE|tRNA	13681	NM_001302358	20429		NM_013665	ENSMUSG00000027833	Shox2	6330543G17Rik|OG12|Og12x|Prx3|SHOT	SHOX homeobox 2	protein-coding
2689	chr6	117778029	117778426	+	0	NA	Intergenic	Intergenic	-26458	NR_045731	72263		NR_045731	ENSMUSG00000099869	1700030F04Rik	-	RIKEN cDNA 1700030F04 gene	ncRNA
2565	chr3	51977985	51978462	+	0	NA	intron (NM_001004176, intron 1 of 4)	intron (NM_001004176, intron 1 of 4)	126783	NM_001004176	433586		NM_001004176	ENSMUSG00000061143	Maml3	Mam-2|mKIAA1816	mastermind like transcriptional coactivator 3	protein-coding
35	chr1	45905053	45905713	+	0	NA	Intergenic	Intergenic	20211	NM_016917	53945		NM_016917	ENSMUSG00000025993	Slc40a1	Dusg|Fpn1|IREG1|MTP|MTP1|Ol5|Pcm|Slc11a3|Slc39a1	solute carrier family 40 (iron-regulated transporter), member 1	protein-coding
114	chr1	126411486	126411878	+	0	NA	intron (NM_176957, intron 4 of 12)	B4|SINE|B4	81245	NM_172484	210356		NM_172484	ENSMUSG00000049690	Nckap5	8430408F21|D130011D22Rik|E030049G20Rik|Erih1|Erih2|Gm1548|Nap5	NCK-associated protein 5	protein-coding
258	chr10	70125509	70125878	+	0	NA	intron (NM_001111121, intron 1 of 8)	intron (NM_001111121, intron 1 of 8)	28572	NM_001111121	76551		NM_001111121	ENSMUSG00000048701	Ccdc6	2810012H18Rik	coiled-coil domain containing 6	protein-coding
3523	chr8	108706715	108707262	+	0	NA	Intergenic	Intergenic	-7656	NM_007496	11906		NM_007496	ENSMUSG00000038872	Zfhx3	A230102L03Rik|Atbf1|Sci|WBP9|mKIAA4228	zinc finger homeobox 3	protein-coding
1293	chr2	26603674	26604935	+	0	NA	5' UTR (NM_026212, exon 1 of 6)	5' UTR (NM_026212, exon 1 of 6)	113	NM_026212	67512		NM_026212	ENSMUSG00000026922	Agpat2	1-AGPAT 2|2510002J07Rik|BSCL|BSCL1|LPAAB|LPAAT-beta	1-acylglycerol-3-phosphate O-acyltransferase 2	protein-coding
1779	chr5	5693576	5694733	+	0	NA	promoter-TSS (NM_001285471)	promoter-TSS (NM_001285471)	-65	NM_001103156	74051		NM_028734	ENSMUSG00000015653	Steap2	4921538B17Rik|IPCA-1|IPCA1|PCANAP1|STAMP1|STMP	six transmembrane epithelial antigen of prostate 2	protein-coding
401	chr11	78465474	78466557	+	0	NA	intron (NM_026740, intron 1 of 4)	CpG	314	NM_026740	52466		NM_026740	ENSMUSG00000020829	Slc46a1	1110002C08Rik|D11Ertd18e|HCP1|Pcft	solute carrier family 46, member 1	protein-coding
1600	chr3	138276978	138277393	+	0	NA	promoter-TSS (NM_007409)	promoter-TSS (NM_007409)	-400	NM_007409	11522		NM_007409	ENSMUSG00000074207	Adh1	ADH-A2|ADH-AA|Adh-1|Adh-1-t|Adh-1e|Adh-1t|Adh-3e|Adh1-e|Adh1-t|Adh1tl|Adh3-e	alcohol dehydrogenase 1 (class I)	protein-coding
879	chr15	101266541	101266916	+	0	NA	promoter-TSS (NM_010444)	promoter-TSS (NM_010444)	-118	NM_010444	15370		NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|NUR77-1|NUR77-2|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding
3844	chr5	89278344	89278757	+	0	NA	Intergenic	MER21C|LTR|ERVL	179348	NM_008096	14473		NM_008096	ENSMUSG00000035540	Gc	DBP|VDB	vitamin D binding protein	protein-coding
806	chr15	37451497	37451773	+	0	NA	intron (NM_001359841, intron 3 of 7)	intron (NM_001359841, intron 3 of 7)	6876	NM_001359842	52589		NM_134094	ENSMUSG00000051359	Ncald	D030020D09Rik|D15Ertd412e	neurocalcin delta	protein-coding
2945	chr9	119425200	119425571	+	0	NA	intron (NM_001313757, intron 1 of 10)	intron (NM_001313757, intron 1 of 10)	-19575	NR_153321								
1662	chr4	57301442	57302198	+	0	NA	promoter-TSS (NM_011207)	promoter-TSS (NM_011207)	17	NM_011207	545622		NM_011207	ENSMUSG00000038764	Ptpn3	9530011I20Rik|PTP-H1|PTPCL	protein tyrosine phosphatase, non-receptor type 3	protein-coding
3534	chr8	126826330	126826678	+	0	NA	Intergenic	Intergenic	-22516	NR_151740	414091		NM_001033546		A630001O12Rik	Gm45803	RIKEN cDNA A630001O12 gene	ncRNA
1518	chr3	79223273	79223577	+	0	NA	intron (NR_045502, intron 1 of 2)	intron (NR_045502, intron 1 of 2)	10506	NR_045502	70924		NR_045502	ENSMUSG00000104585	4921511C10Rik	-	RIKEN cDNA 4921511C10 gene	ncRNA
682	chr13	114923362	114923882	+	0	NA	intron (NM_008396, intron 1 of 29)	intron (NM_008396, intron 1 of 29)	8478	NM_008396	16398		NM_008396	ENSMUSG00000015533	Itga2	CD49B|DX5|GPIa	integrin alpha 2	protein-coding
2759	chr8	33903827	33904189	+	0	NA	intron (NM_001042675, intron 1 of 6)	intron (NM_001042675, intron 1 of 6)	25855	NM_001042674	19663		NM_019733	ENSMUSG00000031586	Rbpms	2010300K22Rik|2700019M19Rik|RBP-MS|hermes	RNA binding protein gene with multiple splicing	protein-coding
1214	chr19	29418608	29419104	+	0	NA	intron (NM_021396, intron 1 of 5)	intron (NM_021396, intron 1 of 5)	7937	NM_021396	58205		NM_021396	ENSMUSG00000016498	Pdcd1lg2	B7-DC|Btdc|F730015O22Rik|PD-L2	programmed cell death 1 ligand 2	protein-coding
3238	chr19	10000409	10000631	+	0	NA	intron (NM_011913, intron 1 of 11)	intron (NM_011913, intron 1 of 11)	1113	NM_011913	24115		NM_011913	ENSMUSG00000037418	Best1	Bmd|Vmd2|mBest1	bestrophin 1	protein-coding
962	chr16	90785375	90785740	+	0	NA	intron (NM_029497, intron 14 of 38)	intron (NM_029497, intron 14 of 38)	24856	NM_029497	207932		NM_029497	ENSMUSG00000039929	Urb1	4921511H13Rik|5730405K23Rik|mKIAA0539	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)	protein-coding
