PeakID (cmd=annotatePeaks.pl ../beds/community3.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
145	chr18	12873910	12875374	+	0	NA	intron (NM_002828, intron 1 of 8)	SVA_D|Other|Other	9594	NM_002828	5771		NM_002828	ENSG00000175354	PTPN2	PTN2|PTPT|TC-PTP|TC45|TC48|TCELLPTP|TCPTP	protein tyrosine phosphatase non-receptor type 2	protein-coding
11	chr19	46333016	46333813	+	0	NA	exon (NM_004819, exon 13 of 27)	exon (NM_004819, exon 13 of 27)	-14848	NM_030785	81492		NM_030785	ENSG00000104941	RSPH6A	RSHL1|RSP4|RSP6|RSPH4B	radial spoke head 6 homolog A	protein-coding
120	chr14	67011427	67013093	+	0	NA	intron (NM_001377519, intron 1 of 22)	SVA_D|Other|Other	37395	NM_020806	10243		NM_020806	ENSG00000171723	GPHN	GEPH|GPH|GPHRYN|HKPX1|MOCODC	gephyrin	protein-coding
13	chr17	55962623	55963523	+	0	NA	5' UTR (NM_001292025, exon 2 of 11)	5' UTR (NM_001292025, exon 2 of 11)	17677	NM_001292025	404093		NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
245	chr5	83607788	83608530	+	0	NA	intron (NM_005711, intron 1 of 10)	SVA_D|Other|Other	72526	NM_001278642	10085		NM_005711	ENSG00000164176	EDIL3	DEL1	EGF like repeats and discoidin domains 3	protein-coding
3	chr9	90372985	90374727	+	0	NA	Intergenic	SVA_F|Other|Other	-13974	NR_027917	392360		NM_001023564	ENSG00000290757	CTSL3P	CTSL3|HCTSL-s	cathepsin L family member 3, pseudogene	pseudo
274	chr6	133986036	133986722	+	0	NA	intron (NR_109982, intron 4 of 8)	SVA_F|Other|Other	-155906	NR_027030	154089		NM_153224		LINC01312	-	long intergenic non-protein coding RNA 1312	ncRNA
226	chr4	48365496	48365966	+	0	NA	intron (NM_020846, intron 1 of 7)	SVA_F|Other|Other	22185	NM_020846	57606		NM_020846	ENSG00000109171	SLAIN2	KIAA1458	SLAIN motif family member 2	protein-coding
167	chr2	202147549	202148387	+	0	NA	intron (NR_111983, intron 7 of 8)	SVA_E|Other|Other	22709	NM_001372051	841		NM_001228	ENSG00000064012	CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	caspase 8	protein-coding
37	chr6	77454113	77455031	+	0	NA	Intergenic	SVA_F|Other|Other	-151232	NR_149101	105377860		NR_149101	ENSG00000236635	LINC02540	-	long intergenic non-protein coding RNA 2540	ncRNA
383	chr17	406163	406722	+	0	NA	Intergenic	CpG	-110711	NM_182705	359845		NM_182705	ENSG00000183688	RFLNB	CFM1|FAM101B	refilin B	protein-coding
162	chr2	157225081	157226029	+	0	NA	Intergenic	SVA_E|Other|Other	-26923	NR_147695	440918		NR_147695		FLJ46875	-	uncharacterized LOC440918	ncRNA
369	chr12	9436059	9437502	+	0	NA	intron (NR_024374, intron 1 of 21)	intron (NR_024374, intron 1 of 21)	527	NR_024374	642846		NR_024374		LOC642846	-	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like	ncRNA
15	chr8	43274394	43275445	+	0	NA	Intergenic	SVA_D|Other|Other	127334	NM_001005365	340441		NM_001002920	ENSG00000188877	POTEA	A26A1|CT104.3|POTE-8|POTE8	POTE ankyrin domain family member A	protein-coding
189	chr21	10574977	10575961	+	0	NA	Intergenic	Intergenic	415405	NM_199259	7179		NM_199259	ENSG00000274391	TPTE	CT44|PTEN2|TPTE1	transmembrane phosphatase with tensin homology	protein-coding
191	chr21	14387940	14389318	+	0	NA	Intergenic	Intergenic	-21858	NR_026916	149992		NM_153773		ANKRD30BP2	C21orf99|CT85|CTSP-1|CTSP1	ankyrin repeat domain 30B pseudogene 2	pseudo
382	chr7	76589017	76589387	+	0	NA	Intergenic	CpG	-20937	NR_023383	441263		NR_023383	ENSG00000265479	DTX2P1-UPK3BP1-PMS2P11	PMS2L11	DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene	pseudo
163	chr2	170183368	170185058	+	0	NA	intron (NM_004525, intron 1 of 78)	SVA_F|Other|Other	34831	NM_004525	4036		NM_004525	ENSG00000081479	LRP2	DBS|GP330|LRP-2	LDL receptor related protein 2	protein-coding
335	chr4	114615199	114615700	+	0	NA	intron (NM_001321585, intron 2 of 19)	intron (NM_001321585, intron 2 of 19)	67445	NM_001321573	817		NM_001221	ENSG00000145349	CAMK2D	CAMKD	calcium/calmodulin dependent protein kinase II delta	protein-coding
144	chr17	61533880	61534367	+	0	NA	Intergenic	SVA_D|Other|Other	-10456	NM_001915	1534		NM_001915	ENSG00000008283	CYB561	CGCytb|CYB561A1|FRRS2|ORTHYP2	cytochrome b561	protein-coding
387	chr22	24372290	24373649	+	0	NA	promoter-TSS (NM_001354469)	promoter-TSS (NM_001354469)	-132	NM_001354469	391322		NM_001144931		LOC391322	-	D-dopachrome tautomerase-like	pseudo
206	chr3	50348709	50349652	+	0	NA	intron (NM_153281, intron 1 of 5)	SVA_D|Other|Other	632	NM_153281	3373		NM_033159	ENSG00000114378	HYAL1	HYAL-1|LUCA1|MPS9|NAT6	hyaluronidase 1	protein-coding
315	chr6	11547132	11548566	+	0	NA	intron (NM_001100829, intron 1 of 2)	intron (NM_001100829, intron 1 of 2)	9867	NM_001100829	100113407		NM_001100829	ENSG00000205269	TMEM170B	-	transmembrane protein 170B	protein-coding
355	chr7	128114290	128114736	+	0	NA	Intergenic	Intergenic	-2289	NM_018396	55798		NM_018396	ENSG00000165055	METTL2B	METL|METTL2|METTL2A|PSENIP1	methyltransferase 2B, tRNA N3-cytidine	protein-coding
198	chr21	45284046	45286562	+	0	NA	intron (NM_001369878, intron 1 of 8)	intron (NM_001369878, intron 1 of 8)	200	NM_001369881	56894		NM_020132	ENSG00000160216	AGPAT3	1-AGPAT 3|LPAAT-GAMMA1|LPAAT3|LPLAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	protein-coding
100	chr13	35114875	35115551	+	0	NA	intron (NR_047036, intron 1 of 2)	SVA_F|Other|Other	99609	NR_047036	100874179		NR_047036	ENSG00000225179	LINC00457	-	long intergenic non-protein coding RNA 457	ncRNA
175	chr20	33741241	33742253	+	0	NA	intron (NM_001355008, intron 5 of 14)	SVA_F|Other|Other	-6608	NM_018217	55741		NM_018217	ENSG00000088298	EDEM2	C20orf31|C20orf49|bA4204.1	ER degradation enhancing alpha-mannosidase like protein 2	protein-coding
200	chr22	27168757	27169401	+	0	NA	intron (NR_110543, intron 2 of 5)	SVA_F|Other|Other	-87095	NR_146604	110091768		NR_146604		LOC110091768	-	uncharacterized LOC110091768	ncRNA
298	chr8	87706032	87706864	+	0	NA	intron (NM_019098, intron 3 of 17)	SVA_D|Other|Other	49414	NM_019098	54714		NM_019098	ENSG00000170289	CNGB3	ACHM1	cyclic nucleotide gated channel subunit beta 3	protein-coding
275	chr6	150107190	150107913	+	0	NA	intron (NM_001252050, intron 3 of 6)	SVA_D|Other|Other	36674	NM_001360452	5110		NM_005389	ENSG00000120265	PCMT1	PIMT	protein-L-isoaspartate (D-aspartate) O-methyltransferase	protein-coding
263	chr6	34365561	34366344	+	0	NA	intron (NM_001202470, intron 5 of 8)	SVA_F|Other|Other	-5506	NM_006703	11165		NM_006703	ENSG00000272325	NUDT3	DIPP|DIPP-1|DIPP1	nudix hydrolase 3	protein-coding
34	chr2	128545436	128546365	+	0	NA	intron (NM_001006622, intron 1 of 5)	SVA_F|Other|Other	22845	NM_018383	55339		NM_018383	ENSG00000136709	WDR33	NET14|WDC146	WD repeat domain 33	protein-coding
291	chr7	130275289	130276680	+	0	NA	intron (NM_012133, intron 9 of 12)	SVA_F|Other|Other	77604	NM_012133	26958		NM_012133	ENSG00000158623	COPG2	2-COP|gamma-2-COP	COPI coat complex subunit gamma 2	protein-coding
289	chr7	111250062	111250562	+	0	NA	Intergenic	SVA_D|Other|Other	-47764	NM_001350960	83943		NM_032549	ENSG00000184903	IMMP2L	IMMP2L-IT1|IMP2|IMP2-LIKE	inner mitochondrial membrane peptidase subunit 2	protein-coding
69	chr10	99287874	99288664	+	0	NA	intron (NM_024954, intron 1 of 2)	SVA_D|Other|Other	29588	NM_024954	80019		NM_024954	ENSG00000165886	UBTD1	-	ubiquitin domain containing 1	protein-coding
244	chr5	81435593	81436110	+	0	NA	intron (NM_001131028, intron 4 of 8)	SVA_F|Other|Other	138322	NM_001025	6228		NM_001025	ENSG00000186468	RPS23	BTDD|MABAS|MCINS|PAMAS|S23|uS12	ribosomal protein S23	protein-coding
106	chr13	89368330	89369479	+	0	NA	Intergenic	Intergenic	89797	NR_047490	100861553		NR_047490	ENSG00000261666	LINC00560	-	long intergenic non-protein coding RNA 560	ncRNA
225	chr4	46379391	46380127	+	0	NA	intron (NM_000807, intron 3 of 9)	SVA_D|Other|Other	11293	NM_001377151	2555		NM_000807	ENSG00000151834	GABRA2	DEE78|EIEE78	gamma-aminobutyric acid type A receptor subunit alpha2	protein-coding
299	chr8	88147223	88148251	+	0	NA	intron (NM_173538, intron 4 of 10)	intron (NM_173538, intron 4 of 10)	269094	NM_173538	168975		NM_173538	ENSG00000176571	CNBD1	-	cyclic nucleotide binding domain containing 1	protein-coding
281	chr7	23676504	23677818	+	0	NA	intron (NM_138771, intron 3 of 3)	SVA_E|Other|Other	40160	NM_138771	90693		NM_138771	ENSG00000169193	CCDC126	-	coiled-coil domain containing 126	protein-coding
140	chr17	31248977	31249874	+	0	NA	Intergenic	SVA_E|Other|Other	-5503	NM_001033504	26022		NM_015544	ENSG00000006042	TMEM98	TADA1	transmembrane protein 98	protein-coding
68	chr10	94734901	94735885	+	0	NA	intron (NM_001319195, intron 18 of 21)	SVA_D|Other|Other	-85162	NM_183374	340665		NM_183374	ENSG00000187553	CYP26C1	FFDD4	cytochrome P450 family 26 subfamily C member 1	protein-coding
76	chr11	28451619	28452857	+	0	NA	Intergenic	SVA_F|Other|Other	46857	NR_107035	102466876		NR_107035	ENSG00000273912	MIR8068	hsa-mir-8068	microRNA 8068	ncRNA
288	chr7	100329866	100330892	+	0	NA	promoter-TSS (NM_173059)	promoter-TSS (NM_173059)	-839	NM_003386	7455		NM_003386	ENSG00000146839	ZAN	-	zonadhesin	protein-coding
246	chr5	89891173	89891919	+	0	NA	intron (NM_032119, intron 1 of 89)	SVA_D|Other|Other	36932	NM_032119	84059		NM_032119	ENSG00000164199	ADGRV1	FEB4|GPR98|MASS1|USH2B|USH2C|VLGR1|VLGR1b	adhesion G protein-coupled receptor V1	protein-coding
104	chr13	74149011	74149733	+	0	NA	intron (NR_047009, intron 1 of 2)	SVA_F|Other|Other	10991	NR_047009	100874155		NR_047009		LINC00392	-	long intergenic non-protein coding RNA 392	ncRNA
188	chr21	10550453	10551127	+	0	NA	Intergenic	Tigger1|DNA|TcMar-Tigger	440084	NM_199259	7179		NM_199259	ENSG00000274391	TPTE	CT44|PTEN2|TPTE1	transmembrane phosphatase with tensin homology	protein-coding
30	chr10	24945043	24946349	+	0	NA	intron (NM_001367450, intron 4 of 27)	SVA_F|Other|Other	-33924	NR_160024	57584		NM_020824	ENSG00000107863	ARHGAP21	ARHGAP10	Rho GTPase activating protein 21	protein-coding
146	chr18	12979750	12981234	+	0	NA	intron (NM_031216, intron 6 of 8)	SVA_D|Other|Other	-10869	NM_032142	55125		NM_018069	ENSG00000101639	CEP192	PPP1R62	centrosomal protein 192	protein-coding
204	chr3	17745980	17746984	+	0	NA	intron (NM_001349076, intron 1 of 22)	SVA_F|Other|Other	-4970	NM_001134381	9779		NM_014744	ENSG00000131374	TBC1D5	-	TBC1 domain family member 5	protein-coding
181	chr21	10401558	10402629	+	0	NA	Intergenic	L1MEc|LINE|L1	-433499	NR_038329	100132288		NM_174948	ENSG00000291050	TEKT4P2	MAFIPL|TEKT4P	tektin 4 pseudogene 2	pseudo
199	chr21	46998971	46999725	+	0	NA	Intergenic	Intergenic	-14220	NR_146912	105372840		NR_146912	ENSG00000233922	LINC01694	-	long intergenic non-protein coding RNA 1694	ncRNA
125	chr15	47424740	47425624	+	0	NA	Intergenic	SVA_E|Other|Other	-51104	NM_001198999	80031		NM_020858	ENSG00000137872	SEMA6D	-	semaphorin 6D	protein-coding
56	chr1	147421521	147422506	+	0	NA	intron (NM_001350183, intron 5 of 13)	SVA_D|Other|Other	21480	NM_016334	51463		NM_016334	ENSG00000188092	GPR89B	GPHR|GPR89|GPR89C|LINC02804|SH120|UNQ192	G protein-coupled receptor 89B	protein-coding
240	chr5	55310346	55311055	+	0	NA	Intergenic	SVA_D|Other|Other	19705	NR_102755	441072		NR_102755	ENSG00000227908	IL6ST-DT	-	IL6ST divergent transcript	ncRNA
43	chr4	161845126	161846151	+	0	NA	Intergenic	L1MEf|LINE|L1	-1098247	NR_125888	101928052		NR_125888	ENSG00000249419	LOC101928052	-	uncharacterized LOC101928052	ncRNA
85	chr12	12566683	12568367	+	0	NA	intron (NM_001300742, intron 2 of 3)	SVA_F|Other|Other	57513	NM_001300742	118426		NM_058169	ENSG00000165714	BORCS5	LOH12CR1|LOH1CR12	BLOC-1 related complex subunit 5	protein-coding
105	chr13	85282165	85283268	+	0	NA	Intergenic	Intergenic	-75073	NR_132852	106635542		NR_132852		SNORA107	-	small nucleolar RNA, H/ACA box 107	snoRNA
41	chr10	37466824	37468596	+	0	NA	intron (NM_052997, intron 19 of 35)	intron (NM_052997, intron 19 of 35)	52925	NM_052997	91074		NM_052997	ENSG00000148513	ANKRD30A	NY-BR-1	ankyrin repeat domain 30A	protein-coding
350	chr8	88453332	88454544	+	0	NA	Intergenic	L1MA4|LINE|L1	432305	NM_152418	138009		NM_152418	ENSG00000176566	DCAF4L2	WDR21C	DDB1 and CUL4 associated factor 4 like 2	protein-coding
96	chr12	117127451	117127849	+	0	NA	Intergenic	Intergenic	48224	NM_001353625	79794		NM_024738	ENSG00000111412	SPRING1	C12orf49|LUR1|POST1|SPRING	SREBF pathway regulator in golgi 1	protein-coding
170	chr2	207264950	207266311	+	0	NA	Intergenic	SVA_F|Other|Other	-42626	NM_003812	8745		NM_003812	ENSG00000114948	ADAM23	MDC-3|MDC3	ADAM metallopeptidase domain 23	protein-coding
361	chr21	14424080	14426121	+	0	NA	intron (NR_026916, intron 6 of 11)	HERVIP10F-int|LTR|ERV1	14613	NR_026916	149992		NM_153773		ANKRD30BP2	C21orf99|CT85|CTSP-1|CTSP1	ankyrin repeat domain 30B pseudogene 2	pseudo
276	chr6	152219814	152221086	+	0	NA	intron (NM_001385572, intron 3 of 6)	SVA_D|Other|Other	90208	NM_001328100	2099		NM_000125	ENSG00000091831	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1	protein-coding
310	chr9	123258592	123259107	+	0	NA	intron (NM_001272039, intron 12 of 34)	SVA_F|Other|Other	83596	NM_018249	55755		NM_018249	ENSG00000136861	CDK5RAP2	C48|Cep215|MCPH3	CDK5 regulatory subunit associated protein 2	protein-coding
83	chr12	8777936	8778623	+	0	NA	Intergenic	SVA_F|Other|Other	-12824	NM_001330343	57379		NM_020661	ENSG00000111732	AICDA	AID|ARP2|CDA2|HEL-S-284|HIGM2	activation induced cytidine deaminase	protein-coding
224	chr4	34521493	34522809	+	0	NA	Intergenic	LTR49|LTR|ERV1	-250782	NR_147183	105374394		NR_147183		LINC02484	-	long intergenic non-protein coding RNA 2484	ncRNA
45	chr1	8561159	8562542	+	0	NA	intron (NM_001042681, intron 8 of 22)	SVA_F|Other|Other	-6877	NR_132752	106632271		NR_132752		SNORD128	ZL43	small nucleolar RNA, C/D box 128	snoRNA
32	chr13	88628276	88629115	+	0	NA	Intergenic	SVA_D|Other|Other	-165920	NR_104059	101930749		NR_104059	ENSG00000223404	LINC00397	-	long intergenic non-protein coding RNA 397	ncRNA
330	chr10	6333655	6335111	+	0	NA	Intergenic	AluY|SINE|Alu	-34124	NR_040079	399715		NR_040079	ENSG00000215244	LINC02649	-	long intergenic non-protein coding RNA 2649	ncRNA
81	chr11	118201670	118202561	+	0	NA	Intergenic	SVA_F|Other|Other	11305	NM_000732	915		NM_000732	ENSG00000167286	CD3D	CD3-DELTA|CD3DELTA|IMD19|T3D	CD3 delta subunit of T-cell receptor complex	protein-coding
368	chr5	79511667	79513609	+	0	NA	intron (NM_178276, intron 1 of 12)	AluJo|SINE|Alu	39229	NM_178276	256987		NM_178276	ENSG00000164300	SERINC5	C5orf12|TPO1	serine incorporator 5	protein-coding
176	chr20	35628583	35629618	+	0	NA	intron (NM_001323282, intron 21 of 21)	SVA_F|Other|Other	-48989	NM_015474	25939		NM_015474	ENSG00000101347	SAMHD1	CHBL2|DCIP|HDDC1|MOP-5|SBBI88|hSAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	protein-coding
356	chr11	104536213	104537043	+	0	NA	Intergenic	L1MC2|LINE|L1	-56598	NR_120585	102723895		NR_120585	ENSG00000256422	LINC02552	-	long intergenic non-protein coding RNA 2552	ncRNA
124	chr15	40875018	40876189	+	0	NA	Intergenic	Intergenic	-10844	NM_170589	57082		NM_020380	ENSG00000137812	KNL1	AF15Q14|CASC5|CT29|D40|MCPH4|PPP1R55|Spc7|hKNL-1|hSpc105	kinetochore scaffold 1	protein-coding
336	chr5	76580868	76582145	+	0	NA	intron (NM_001029853, intron 1 of 20)	L1ME3A|LINE|L1	75001	NM_001349748	8622		NM_003719	ENSG00000113231	PDE8B	ADSD|PPNAD3	phosphodiesterase 8B	protein-coding
316	chr11	94261798	94262366	+	0	NA	intron (NM_001190462, intron 3 of 3)	intron (NM_001190462, intron 3 of 3)	-14935	NM_002033	2526		NM_002033	ENSG00000196371	FUT4	CD15|ELFT|FCT3A|FUC-TIV|FUTIV|LeX|SSEA-1	fucosyltransferase 4	protein-coding
205	chr3	48252959	48253966	+	0	NA	Intergenic	SVA_F|Other|Other	-11523	NM_004345	820		NM_004345	ENSG00000164047	CAMP	CAP-18|CAP18|CRAMP|FALL-39|FALL39|HSD26|LL37	cathelicidin antimicrobial peptide	protein-coding
270	chr6	93357292	93360046	+	0	NA	Intergenic	LTR54B|LTR|ERV1	768209	NM_001376470	2045		NM_004440	ENSG00000135333	EPHA7	EHK-3|EHK3|EK11|HEK11	EPH receptor A7	protein-coding
384	chr7	74595319	74597474	+	0	NA	Intergenic	Intergenic	-8594	NR_003187	654817		NR_003187	ENSG00000165178	NCF1C	SH3PXD1C	neutrophil cytosolic factor 1C (pseudogene)	pseudo
147	chr18	19172280	19172925	+	0	NA	intron (NM_052911, intron 1 of 11)	SVA_D|Other|Other	8063	NM_052911	114799		NM_052911	ENSG00000141446	ESCO1	A930014I12Rik|CTF|ECO1|EFO1|ESO1	establishment of sister chromatid cohesion N-acetyltransferase 1	protein-coding
273	chr6	123169632	123171046	+	0	NA	Intergenic	SVA_F|Other|Other	59936	NM_006714	10924		NM_006714	ENSG00000172594	SMPDL3A	ASM3A|ASML3a|yR36GH4.1	sphingomyelin phosphodiesterase acid like 3A	protein-coding
349	chr8	50765504	50766300	+	0	NA	Intergenic	Intergenic	-56454	NM_001287813	54212		NM_018967	ENSG00000147481	SNTG1	G1SYN|SYN4	syntrophin gamma 1	protein-coding
72	chr10	121554086	121554845	+	0	NA	intron (NM_014937, intron 6 of 19)	SVA_D|Other|Other	-24304	NM_001243194	22876		NM_014937	ENSG00000198825	INPP5F	MSTP007|MSTPO47|SAC2|hSAC2	inositol polyphosphate-5-phosphatase F	protein-coding
142	chr17	42315437	42316330	+	0	NA	Intergenic	SVA_D|Other|Other	-17211	NR_045058	7343		NM_014233	ENSG00000108312	UBTF	CONDBA|NOR-90|UBF|UBF-1|UBF1|UBF2	upstream binding transcription factor	protein-coding
28	chr8	28738509	28739436	+	0	NA	intron (NM_001145159, intron 1 of 15)	intron (NM_001145159, intron 1 of 15)	8460	NM_001172562	55756		NM_018250	ENSG00000104299	INTS9	CPSF2L|INT9|RC74	integrator complex subunit 9	protein-coding
265	chr6	48986871	48988092	+	0	NA	Intergenic	L1PA16|LINE|L1	443485	NM_000255	4594		NM_000255	ENSG00000146085	MMUT	MCM|MUT	methylmalonyl-CoA mutase	protein-coding
313	chr16	70256802	70258234	+	0	NA	intron (NR_033959, intron 1 of 5)	intron (NR_033959, intron 1 of 5)	2418	NR_033959	100506060		NR_033959	ENSG00000261556	SMG1P7	-	SMG1 pseudogene 7	pseudo
49	chr1	33517525	33518486	+	0	NA	Intergenic	SVA_F|Other|Other	-15493	NM_001319140	204		NM_001625	ENSG00000004455	AK2	ADK2	adenylate kinase 2	protein-coding
90	chr12	80701168	80702278	+	0	NA	intron (NM_173591, intron 29 of 58)	SVA_D|Other|Other	98729	NM_173591	283310		NM_173591	ENSG00000165899	OTOGL	C12orf64|DFNB84B	otogelin like	protein-coding
333	chr21	23863246	23864020	+	0	NA	Intergenic	L1MB3|LINE|L1	392697	NR_038400	54143		NM_153203	ENSG00000184856	LINC00308	C21orf74|NCRNA00308|PRED16	long intergenic non-protein coding RNA 308	ncRNA
301	chr9	29188191	29189613	+	0	NA	intron (NM_001258282, intron 1 of 6)	SVA_D|Other|Other	23395	NM_001354575	158038		NM_152570	ENSG00000174482	LINGO2	LERN3|LRRN6C	leucine rich repeat and Ig domain containing 2	protein-coding
52	chr1	98977928	98978869	+	0	NA	Intergenic	SVA_D|Other|Other	-148879	NM_152238	51375		NM_015976	ENSG00000162627	SNX7	-	sorting nexin 7	protein-coding
165	chr2	192606373	192607602	+	0	NA	Intergenic	SVA_F|Other|Other	-50579	NR_157850	729254		NR_157850	ENSG00000225884	LOC729254	-	hCG2045843	ncRNA
89	chr12	76335462	76336257	+	0	NA	Intergenic	SVA_D|Other|Other	89697	NM_007350	22822		NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
247	chr5	108677086	108678563	+	0	NA	intron (NM_014819, intron 9 of 9)	SVA_F|Other|Other	-15754	NR_149040	285638		NR_149040	ENSG00000249476	LOC285638	-	uncharacterized LOC285638	ncRNA
390	chr10	51370907	51371853	+	0	NA	promoter-TSS (NR_158656)	promoter-TSS (NR_158656)	1	NM_001290118	100652748		NM_001290117	ENSG00000204152	TIMM23B	-	translocase of inner mitochondrial membrane 23 homolog B	protein-coding
173	chr20	2804734	2805679	+	0	NA	Intergenic	SVA_E|Other|Other	8196	NM_001167670	100288797		NM_001167670	ENSG00000198326	TMEM239	-	transmembrane protein 239	protein-coding
308	chr9	86418931	86419824	+	0	NA	intron (NM_001135953, intron 3 of 11)	SVA_D|Other|Other	13307	NM_025211	80318		NM_025211	ENSG00000165113	GKAP1	FKSG21|GKAP42	G kinase anchoring protein 1	protein-coding
18	chr11	76809198	76809679	+	0	NA	intron (NM_004055, intron 3 of 12)	SVA_F|Other|Other	-4448	NM_006189	4975		NM_006189	ENSG00000254550	OMP	-	olfactory marker protein	protein-coding
242	chr5	74566282	74567377	+	0	NA	Intergenic	SVA_F|Other|Other	-34126	NM_001372053	256006		NM_001164443	ENSG00000145700	ANKRD31	-	ankyrin repeat domain 31	protein-coding
353	chr21	15435862	15437239	+	0	NA	Intergenic	CpG	-83785	NR_027270	391267		NM_153750	ENSG00000291280	ANKRD20A11P	C21orf81	ankyrin repeat domain 20 family member A11, pseudogene	pseudo
328	chr1	77929691	77930508	+	0	NA	intron (NM_012093, intron 8 of 13)	intron (NM_012093, intron 8 of 13)	181327	NM_012093	26289		NM_012093	ENSG00000154027	AK5	AK6	adenylate kinase 5	protein-coding
352	chr9	84429435	84430507	+	0	NA	Intergenic	Intergenic	-98381	NR_026851	347127		NM_198509	ENSG00000291172	SPATA31D5P	FAM75D5|FAM75D5P	SPATA31 subfamily D member 5, pseudogene	pseudo
243	chr5	76108381	76109188	+	0	NA	Intergenic	SVA_D|Other|Other	-6071	NM_005242	2150		NM_005242	ENSG00000164251	F2RL1	GPR11|PAR2	F2R like trypsin receptor 1	protein-coding
159	chr2	74288266	74288736	+	0	NA	intron (NM_001287491, intron 4 of 11)	SVA_D|Other|Other	58682	NM_001366022	200424		NM_001287491	ENSG00000187605	TET3	BEFAHRS|hCG_40738	tet methylcytosine dioxygenase 3	protein-coding
36	chr5	139806699	139807698	+	0	NA	intron (NM_020690, intron 1 of 35)	SVA_D|Other|Other	25780	NM_024668	54882		NM_017747	ENSG00000131503	ANKHD1	MASK|MASK1|PP2500|VBARP	ankyrin repeat and KH domain containing 1	protein-coding
